date,value,copper,aluminum,zinc,lead,nickel,tin,Seoul,Gyunggido
2024-06-01,1385.9,9422.5,2458.5,2876.5,2140.8,16835.2,32885.9,1727.81,1662.18
2024-06-02,1395.5,9500,2555.5,2873.2,2138.5,16840,32555,1730,1663
2024-06-03,1405.1,9577.5,2652.5,2869.9,2136.2,16844.8,32224.1,1732.19,1663.82
2024-06-04,1414.7,9655,2749.5,2866.6,2133.9,16849.6,31893.2,1734.38,1664.64
2024-06-05,1424.3,9732.5,2846.5,2863.3,2131.6,16854.4,31562.3,1736.57,1665.46
2024-06-06,1433.9,9810,2943.5,2860,2129.3,16859.2,31231.4,1738.76,1666.28
2024-06-07,1443.5,9887.5,3040.5,2856.7,2127,16864,30900.5,1740.95,1667.1
2024-06-08,1453.1,9965,3137.5,2853.4,2124.7,16868.8,30569.6,1743.14,1667.92
2024-06-09,1462.7,10042.5,3234.5,2850.1,2122.4,16873.6,30238.7,1745.33,1668.74
2024-06-10,1472.3,10120,3331.5,2846.8,2120.1,16878.4,29907.8,1747.52,1669.56
2024-06-11,1481.9,10197.5,3428.5,2843.5,2117.8,16883.2,29576.9,1749.71,1670.38
2024-06-12,1491.5,10275,3525.5,2840.2,2115.5,16888,29246,1751.9,1671.2
2024-06-13,1501.1,10352.5,3622.5,2836.9,2113.2,16892.8,28915.1,1754.09,1672.02
2024-06-14,1510.7,10430,3719.5,2833.6,2110.9,16897.6,28584.2,1756.28,1672.84
2024-06-15,1520.3,10507.5,3816.5,2830.3,2108.6,16902.4,28253.3,1758.47,1673.66
2024-06-16,1529.9,10585,3913.5,2827,2106.3,16907.2,27922.4,1760.66,1674.48
2024-06-17,1539.5,10662.5,4010.5,2823.7,2104,16912,27591.5,1762.85,1675.3
2024-06-18,1549.1,10740,4107.5,2820.4,2101.7,16916.8,27260.6,1765.04,1676.12
2024-06-19,1558.7,10817.5,4204.5,2817.1,2099.4,16921.6,26929.7,1767.23,1676.94
2024-06-20,1568.3,10895,4301.5,2813.8,2097.1,16926.4,26598.8,1769.42,1677.76
2024-06-21,1577.9,10972.5,4398.5,2810.5,2094.8,16931.2,26267.9,1771.61,1678.58
2024-06-22,1587.5,11050,4495.5,2807.2,2092.5,16936,25937,1773.8,1679.4
2024-06-23,1597.1,11127.5,4592.5,2803.9,2090.2,16940.8,25606.1,1775.99,1680.22
2024-06-24,1606.7,11205,4689.5,2800.6,2087.9,16945.6,25275.2,1778.18,1681.04
2024-06-25,1616.3,11282.5,4786.5,2797.3,2085.6,16950.4,24944.3,1780.37,1681.86
2024-06-26,1625.9,11360,4883.5,2794,2083.3,16955.2,24613.4,1782.56,1682.68
2024-06-27,1635.5,11437.5,4980.5,2790.7,2081,16960,24282.5,1784.75,1683.5
2024-06-28,1645.1,11515,5077.5,2787.4,2078.7,16964.8,23951.6,1786.94,1684.32
2024-06-29,1654.7,11592.5,5174.5,2784.1,2076.4,16969.6,23620.7,1789.13,1685.14
2024-06-30,1664.3,11670,5271.5,2780.8,2074.1,16974.4,23289.8,1791.32,1685.96
