일자,구리(달러/톤),알루미늄(달러/톤),아연(달러/톤),납(달러/톤),니켈(달러/톤),주석(달러/톤)
2024-01-02,"8,430.00","2,336.50","2,607.00","2,033.00","16,600.00","25,150.00"
2024-01-03,"8,381.00","2,255.50","2,573.00","2,025.00","16,210.00","25,050.00"
2024-01-04,"8,375.00","2,235.50","2,531.00","2,012.00","16,025.00","24,925.00"
2024-01-05,"8,346.50","2,215.50","2,514.00","2,024.00","15,705.00","24,200.00"
2024-01-08,"8,295.00","2,205.50","2,486.00","2,030.00","15,930.00","24,400.00"
2024-01-09,"8,301.50","2,200.00","2,503.00","2,033.00","16,150.00","24,300.00"
2024-01-10,"8,285.00","2,204.00","2,491.00","2,050.50","15,980.00","24,025.00"
2024-01-11,"8,332.00","2,203.00","2,508.00","2,095.00","16,250.00","24,300.00"
2024-01-12,"8,289.00","2,175.00","2,480.00","2,058.00","16,075.00","24,350.00"
2024-01-15,"8,238.50","2,153.00","2,535.00","2,078.00","16,200.00","24,550.00"
2024-01-16,"8,280.00","2,158.50","2,518.50","2,086.00","15,880.00","24,500.00"
2024-01-17,"8,230.00","2,142.00","2,487.00","2,033.00","15,765.00","25,025.00"
2024-01-18,"8,189.00","2,130.50","2,440.50","2,030.00","15,870.00","25,200.00"
2024-01-19,"8,275.00","2,122.00","2,459.00","2,077.00","15,935.00","25,550.00"
2024-01-22,"8,254.50","2,110.00","2,438.50","2,087.00","15,785.00","25,375.00"
2024-01-23,"8,283.50","2,145.00","2,496.00","2,162.00","16,010.00","26,000.00"
2024-01-24,"8,460.00","2,207.50","2,564.50","2,175.50","16,240.00","26,350.00"
2024-01-25,"8,486.00","2,188.50","2,595.00","2,169.00","16,360.00","26,450.00"
2024-01-26,"8,447.00","2,212.00","2,582.00","2,149.00","16,535.00","26,550.00"
2024-01-29,"8,421.00","2,214.00","2,566.00","2,180.00","16,285.00","26,350.00"
2024-01-30,"8,462.00","2,226.50","2,546.00","2,165.00","16,150.00","26,050.00"
2024-01-31,"8,513.00","2,232.00","2,551.50","2,173.00","16,070.00","26,000.00"
2024-02-01,"8,437.00","2,212.50","2,478.00","2,162.00","15,985.00","25,700.00"
2024-02-02,"8,400.00","2,209.50","2,463.00","2,145.50","16,125.00","25,475.00"
2024-02-05,"8,329.00","2,183.50","2,419.00","2,132.00","15,805.00","24,780.00"
2024-02-06,"8,280.00","2,184.50","2,417.00","2,119.00","15,620.00","25,075.00"
2024-02-07,"8,280.50","2,195.50","2,401.00","2,119.00","15,680.00","25,150.00"
2024-02-08,"8,202.00","2,214.50","2,374.00","2,099.00","15,755.00","25,600.00"
2024-02-09,"8,091.50","2,180.50","2,322.00","2,050.00","15,725.00","25,980.00"
2024-02-12,"8,085.50","2,188.00","2,295.00","2,053.00","15,755.00","26,650.00"
2024-02-13,"8,185.00","2,204.00","2,297.00","2,017.00","15,950.00","27,500.00"
2024-02-14,"8,133.50","2,194.00","2,285.50","2,023.00","16,115.00","27,265.00"
2024-02-15,"8,153.00","2,205.00","2,321.50","2,057.00","16,240.00","27,275.00"
2024-02-16,"8,322.00","2,203.00","2,342.00","2,062.00","16,090.00","26,950.00"
2024-02-19,"8,364.50","2,185.00","2,343.00","2,044.50","16,175.00","26,405.00"
2024-02-20,"8,366.50","2,147.50","2,327.00","2,041.00","16,135.00","26,250.00"
2024-02-21,"8,472.00","2,211.50","2,360.00","2,082.00","16,505.00","26,310.00"
2024-02-22,"8,482.00","2,178.50","2,358.00","2,085.00","16,985.00","25,975.00"
2024-02-23,"8,442.50","2,157.00","2,348.50","2,097.00","17,180.00","26,300.00"
2024-02-26,"8,373.00","2,140.50","2,380.00","2,111.00","16,985.00","26,100.00"
2024-02-27,"8,396.50","2,146.00","2,398.00","2,113.00","17,075.00","26,075.00"
